n,k,ratio,log2_mse,num_eval_samples,num_predominant_samples_available,num_other_samples_for_ratio,num_other_samples_available,actual_ratio_from_definition
9,4,0.8,1.0390811327457428,80000,160000,39999,680000,0.80000400002
9,4,0.6,0.9850255405902862,80000,160000,106666,680000,0.60000150000375
9,4,0.5,0.9837277106285095,80000,160000,160000,680000,0.5
9,4,0.4,0.9587363337993622,80000,160000,240000,680000,0.4
9,4,0.3,0.928894044303894,80000,160000,373333,680000,0.3000001875001172
9,4,0.2,0.9492250258922577,80000,160000,640000,680000,0.2
9,5,0.8,1.5012963949839273,60000,120000,29999,720000,0.8000053333688891
9,5,0.6,1.3458348379135132,60000,120000,80000,720000,0.6
9,5,0.5,1.3082212831497193,60000,120000,120000,720000,0.5
9,5,0.4,1.2312144307454427,60000,120000,180000,720000,0.4
9,5,0.3,1.2299090625762938,60000,120000,280000,720000,0.3
9,5,0.2,1.2339139596303303,60000,120000,480000,720000,0.2
9,6,0.8,3.1999143829345704,40000,80000,19999,760000,0.8000080000800008
9,6,0.6,2.1563045986175537,40000,80000,53333,760000,0.60000150000375
9,6,0.5,1.8930487693786622,40000,80000,80000,760000,0.5
9,6,0.4,1.6257354265213013,40000,80000,120000,760000,0.4
9,6,0.3,1.4805776428222657,40000,80000,186666,760000,0.300000750001875
9,6,0.2,1.4358959112167358,40000,80000,320000,760000,0.2
10,4,0.8,1.026698676261902,100000,200000,49999,640000,0.8000032000128
10,4,0.6,1.02691601146698,100000,200000,133333,640000,0.6000006000006
10,4,0.5,1.04410258934021,100000,200000,200000,640000,0.5
10,4,0.4,1.0144659986877442,100000,200000,300000,640000,0.4
10,4,0.3,0.9802547324371338,100000,200000,466666,640000,0.3000003000003
10,4,0.2,0.9737171171569824,100000,200000,640000,640000,0.23809523809523808
10,5,0.8,1.3890428029060364,80000,160000,39999,680000,0.80000400002
10,5,0.6,1.1459309355735778,80000,160000,106666,680000,0.60000150000375
10,5,0.5,1.1477323600292206,80000,160000,160000,680000,0.5
10,5,0.4,1.1207502622127532,80000,160000,240000,680000,0.4
10,5,0.3,1.1058890944004058,80000,160000,373333,680000,0.3000001875001172
10,5,0.2,1.096047947216034,80000,160000,640000,680000,0.2
10,6,0.8,2.2293240013122557,60000,120000,29999,720000,0.8000053333688891
10,6,0.6,1.7978917560577392,60000,120000,80000,720000,0.6
10,6,0.5,1.466612675221761,60000,120000,120000,720000,0.5
10,6,0.4,1.4343686014811199,60000,120000,180000,720000,0.4
10,6,0.3,1.401724610010783,60000,120000,280000,720000,0.3
